state_fips,bi_class,n,share
53,3-2,2,0.05128205128205128
54,1-2,5,0.09090909090909091
54,1-3,13,0.23636363636363636
54,2-1,3,0.05454545454545454
54,2-2,7,0.12727272727272726
54,2-3,14,0.2545454545454545
54,3-1,2,0.03636363636363636
54,3-2,6,0.10909090909090909
54,3-3,5,0.09090909090909091
55,1-1,4,0.05555555555555555
55,1-2,5,0.06944444444444445
55,2-1,13,0.18055555555555555
55,2-2,12,0.16666666666666666
55,3-1,28,0.3888888888888889
55,3-2,10,0.1388888888888889
56,1-1,2,0.08695652173913043
56,1-3,8,0.34782608695652173
56,2-2,3,0.13043478260869565
56,2-3,7,0.30434782608695654
56,3-2,2,0.08695652173913043
56,3-3,1,0.043478260869565216
