county_fips,county_name,exposure_2017,exposure_2023,exposure_change_abs,exposure_change_pct
13157,"Jackson County, Georgia",176782962.22415012,354423010.7754616,177640048.5513115,1.0048482405565455
47009,"Blount County, Tennessee",169840878.57819605,347211997.18118,177371118.60298395,1.044337029387898
34023,"Middlesex County, New Jersey",744433260.8790299,921243033.1044754,176809772.2254455,0.23750923221333206
36103,"Suffolk County, New York",1353083663.9187953,1528555941.1101086,175472277.19131327,0.1296832427073365
49005,"Cache County, Utah",303625137.82638717,478606129.60493445,174980991.7785473,0.576306010204601
25027,"Worcester County, Massachusetts",912847818.2559497,1087398320.8665311,174550502.6105814,0.19121533635701793
53033,"King County, Washington",2426744419.376925,2600370709.163891,173626289.78696585,0.0715470028077967
42129,"Westmoreland County, Pennsylvania",460017159.86195636,633315918.12925,173298758.2672937,0.37672237774629497
45079,"Richland County, South Carolina",248513111.7870255,417435339.4246342,168922227.6376087,0.6797316504666933
39049,"Franklin County, Ohio",843407612.4135362,1011797533.9077963,168389921.49426007,0.1996542585291438
47157,"Shelby County, Tennessee",656893734.7298173,825228981.683785,168335246.9539677,0.25625948011698507
37063,"Durham County, North Carolina",343377344.768728,511237317.49296796,167859972.72423995,0.48884987691106185
22057,"Lafourche Parish, Louisiana",114388480.72502269,281840264.7296334,167451784.00461072,1.4638867737665506
24003,"Anne Arundel County, Maryland",318319066.6179723,483713103.0890175,165394036.4710452,0.5195857044577896
35045,"San Juan County, New Mexico",106181717.45634273,269863830.0849173,163682112.62857458,1.541528207959845
13139,"Hall County, Georgia",559809906.8694022,723178084.3912817,163368177.52187955,0.2918279500187403
12083,"Marion County, Florida",212862644.93286723,376150173.0985053,163287528.1656381,0.7671027869504103
40017,"Canadian County, Oklahoma",133229721.23613961,296410245.9601219,163180524.72398233,1.2248057206001144
08001,"Adams County, Colorado",377483029.0694807,538397770.421599,160914741.3521183,0.4262833795436664
45007,"Anderson County, South Carolina",335838160.65300524,496192563.3852807,160354402.7322755,0.47747522920111773
19153,"Polk County, Iowa",457217013.1318498,617052003.7768824,159834990.64503258,0.34958233410912076
04021,"Pinal County, Arizona",128056540.70872182,287299359.7869208,159242819.07819897,1.2435352243382372
48251,"Johnson County, Texas",188145158.46383712,343342724.07041585,155197565.60657874,0.824882058479378
53077,"Yakima County, Washington",546949052.1886029,699834140.0521251,152885087.86352217,0.2795234533303538
48187,"Guadalupe County, Texas",193595073.26445827,346123204.78896916,152528131.5245109,0.7878719688085845
47037,"Davidson County, Tennessee",515961249.81017,667677923.7260607,151716673.91589075,0.2940466439518658
18051,"Gibson County, Indiana",230792555.40741867,381679618.58427614,150887063.17685747,0.6537778608607897
53063,"Spokane County, Washington",385795426.70665926,536416960.46539694,150621533.75873768,0.39041814218617793
13045,"Carroll County, Georgia",212978495.42069593,362376016.855605,149397521.43490908,0.7014676347478392
31055,"Douglas County, Nebraska",570467404.4511304,719739570.7429175,149272166.29178715,0.26166642498252446
