county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
11001,2024,21,2346892,NA,NA,NA,0.2046195652173913,0.25,0.275,92,FALSE,TRUE,FALSE,NA,NA
11001,2024,31-33,20545370480,0.0020835831902809077,1164,558653,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,9864668.896888996,14982795.999577554
11001,2024,91,21879548,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2024,93,205980332,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2024,99,859327756,3.938043830427833e-5,22,558653,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
11001,2025 through June,11,31082868,NA,NA,NA,0.2588582677165354,0.25,0.4,762,FALSE,TRUE,FALSE,NA,NA
11001,2025 through June,21,1921508,NA,NA,NA,0.2046195652173913,0.25,0.275,92,FALSE,TRUE,FALSE,NA,NA
11001,2025 through June,31-33,12679785892,0.0020835831902809077,1164,558653,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,6088081.479464482,9246786.05932627
11001,2025 through June,91,3747636,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2025 through June,93,96175756,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
11001,2025 through June,99,581814416,3.938043830427833e-5,22,558653,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
12057,2023,11,137569832,9.889793303319961e-5,69,697689,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,3521.863035978296,5442.148813009809
12057,2023,21,47453812,4.873231482795343e-5,34,697689,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,473.1897233549993,635.9468791968915
12057,2023,31-33,49085088896,0.04046645425110615,28233,697689,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,457722672.6515655,695204826.4775119
12057,2023,91,2004804872,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
