county_fips,Time,naics2c,county_export_usd
36081,2025 through June,11,449838875.2
36081,2025 through June,21,36158660
36081,2025 through June,31-33,85091145171.2
36081,2025 through June,91,1857074098.4
36081,2025 through June,93,4696469211.2
36081,2025 through June,98,44575.2
36081,2025 through June,99,518672328
36085,2023,11,925862176
36085,2023,21,141138465.6
36085,2023,31-33,116545263538.4
36085,2023,91,3490687152
36085,2023,93,9203294936.8
36085,2023,98,34413.6
36085,2023,99,1150623534.4
36085,2024,11,992548247.2
36085,2024,21,112585728
36085,2024,31-33,118033423100.8
36085,2024,91,3760203683.2
36085,2024,93,8422983383.2
36085,2024,98,29328.8
36085,2024,99,1067256660.8
36085,2025 through June,11,449838875.2
36085,2025 through June,21,36158660
36085,2025 through June,31-33,85091145171.2
36085,2025 through June,91,1857074098.4
36085,2025 through June,93,4696469211.2
36085,2025 through June,98,44575.2
36085,2025 through June,99,518672328
36089,2023,11,3755614764
36089,2023,21,875615368
36089,2023,31-33,74217947860
36089,2023,91,3993241564
36089,2023,93,334736156
36089,2023,98,66665276
36089,2023,99,248831116
36089,2024,11,5038002328
36089,2024,21,647735468
36089,2024,31-33,72207445324
36089,2024,91,2967330776
36089,2024,93,414989808
36089,2024,98,83261664
36089,2024,99,487131096
36089,2025 through June,11,2256370752
36089,2025 through June,21,370637096
36089,2025 through June,31-33,32554164560
36089,2025 through June,91,1315148324
36089,2025 through June,93,268716620
36089,2025 through June,98,25938788
36089,2025 through June,99,710542100
37129,2023,11,917600872
37129,2023,21,836555752
37129,2023,31-33,26786250456
37129,2023,91,29329944
37129,2023,93,51929120
37129,2023,99,662928436
37129,2024,11,997556976
37129,2024,21,645519328
37129,2024,31-33,37296455024
37129,2024,91,14494676
37129,2024,93,73794548
37129,2024,99,1249655724
37129,2025 through June,11,633318652
37129,2025 through June,21,621885488
37129,2025 through June,31-33,22721578856
37129,2025 through June,91,12515240
37129,2025 through June,93,39929728
37129,2025 through June,99,452037812
38067,2023,11,5062770228
38067,2023,21,3637106808
38067,2023,31-33,136935947896
38067,2023,91,399586432
38067,2023,93,453887404
38067,2023,98,39660320
38067,2023,99,324908952
