county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01029,42,47,5,2192,2022,0.02324431256181998
01029,44-45,472,46,20105,2022,0.2334322453016815
01029,48-49,19,10,639,2022,0.009396636993076163
01029,51,17,4,946,2022,0.008407517309594461
01029,52,31,8,1816,2022,0.01533135509396637
01029,53,4,3,101,2022,0.0019782393669634025
01029,54,75,13,2143,2022,0.037091988130563795
01029,56,5,4,194,2022,0.002472799208704253
01029,62,139,14,4420,2022,0.06874381800197824
01029,72,161,13,2621,2022,0.07962413452027696
01029,81,105,23,3606,2022,0.05192878338278932
01031,11,24,4,1494,15245,0.001574286651361102
01031,22,50,3,3956,15245,0.0032797638570022957
01031,23,421,79,17610,15245,0.027615611675959332
01031,31-33,3325,36,160589,15245,0.21810429649065266
01031,42,475,27,37266,15245,0.03115775664152181
01031,44-45,2624,204,89574,15245,0.1721220072154805
01031,48-49,328,24,17480,15245,0.02151525090193506
01031,51,112,14,5869,15245,0.007346671039685142
01031,52,478,78,31851,15245,0.03135454247294195
01031,53,201,51,10334,15245,0.01318465070514923
01031,54,977,69,89753,15245,0.06408658576582486
01031,56,1096,50,39142,15245,0.07189242374549032
01031,61,88,10,3023,15245,0.005772384388324041
01031,62,2097,102,97048,15245,0.13755329616267628
01031,71,149,11,2237,15245,0.009773696293866842
01031,72,2050,125,36353,15245,0.13447031813709412
01031,81,698,131,18528,15245,0.04578550344375205
01033,11,18,5,1040,23237,7.746266729784395e-4
01033,21,123,6,9643,23237,0.00529328226535267
01033,23,2187,112,115415,23237,0.09411714076688041
01033,31-33,6025,89,405429,23237,0.2592847613719499
01033,42,803,78,52888,23237,0.0345569565778715
01033,44-45,2836,237,106382,23237,0.1220467358092697
01033,48-49,520,38,29256,23237,0.02237810388604381
01033,51,131,18,8601,23237,0.005637560786676421
01033,52,681,86,42779,23237,0.029306709127684297
01033,53,142,51,7152,23237,0.006110943753496579
01033,54,324,70,15890,23237,0.013943280113611912
01033,55,30,3,4524,23237,0.0012910444549640659
01033,56,2880,51,93327,23237,0.12394026767655032
01033,61,77,6,1767,23237,0.0033136807677411027
01033,62,3061,136,169597,23237,0.1317295692215002
01033,71,162,20,3107,23237,0.006971640056805956
01033,72,2217,113,34329,23237,0.09540818522184447
01033,81,1013,147,35881,23237,0.04359426776261996
01035,11,156,22,9219,2412,0.06467661691542288
01035,23,73,13,3556,2412,0.030265339966832505
01035,31-33,643,12,35326,2412,0.2665837479270315
01035,42,84,7,5607,2412,0.03482587064676617
01035,44-45,343,34,8634,2412,0.14220563847429518
01035,48-49,182,17,9824,2412,0.07545605306799337
01035,51,16,5,674,2412,0.006633499170812604
01035,52,32,10,1740,2412,0.013266998341625208
01035,53,6,5,141,2412,0.0024875621890547263
01035,54,18,10,671,2412,0.007462686567164179
01035,56,25,7,643,2412,0.010364842454394693
01035,62,402,19,16410,2412,0.16666666666666666
01035,72,301,13,5303,2412,0.12479270315091211
01035,81,55,22,1555,2412,0.022802653399668325
01037,11,71,4,2466,1341,0.052945563012677103
01037,23,39,11,2546,1341,0.029082774049217
01037,31-33,481,5,25704,1341,0.3586875466070097
01037,42,51,4,3415,1341,0.03803131991051454
01037,44-45,443,19,9722,1341,0.3303504847129008
01037,48-49,4,3,159,1341,0.002982848620432513
01037,52,10,4,410,1341,0.007457121551081283
01037,53,10,7,188,1341,0.007457121551081283
01037,54,17,8,639,1341,0.01267710663683818
01037,56,35,4,1898,1341,0.02609992542878449
01037,62,127,4,3923,1341,0.0947054436987323
01037,72,6,4,415,1341,0.0044742729306487695
01037,81,28,16,539,1341,0.020879940343027592
01039,11,67,11,5389,9841,0.0068082511939843516
01039,23,433,78,22838,9841,0.04399959353724215
01039,31-33,1865,34,85610,9841,0.18951326084747486
01039,42,491,33,24268,9841,0.04989330352606442
01039,44-45,1690,191,54910,9841,0.17173051519154559
01039,48-49,279,29,19610,9841,0.02835077736002439
01039,51,88,13,3848,9841,0.008942180672695864
01039,52,313,57,18278,9841,0.03180571080174779
01039,53,93,32,3261,9841,0.00945025912000813
01039,54,346,64,18535,9841,0.03515902855400874
01039,56,500,38,17094,9841,0.0508078447312265
01039,61,10,3,180,9841,0.00101615689462453
01039,62,1649,93,78838,9841,0.167564271923585
01039,71,51,10,1330,9841,0.005182400162585104
01039,72,1037,76,17143,9841,0.10537546997256377
01039,81,514,98,17103,9841,0.052230464383700846
01041,11,122,15,7665,2862,0.04262753319357093
01041,23,119,22,5947,2862,0.04157931516422082
01041,31-33,822,7,49673,2862,0.28721174004192873
01041,42,231,10,12480,2862,0.08071278825995808
01041,44-45,259,41,6895,2862,0.09049615653389238
01041,48-49,107,23,6433,2862,0.03738644304682041
01041,52,87,12,5232,2862,0.03039832285115304
01041,53,7,8,223,2862,0.002445842068483578
01041,54,34,13,1937,2862,0.011879804332634521
01041,56,228,7,10142,2862,0.07966457023060797
01041,62,433,17,19320,2862,0.15129280223619845
01041,72,220,12,3322,2862,0.07686932215234102
01041,81,91,27,2733,2862,0.03179594689028651
01043,11,66,11,3084,27591,0.002392084375339785
01043,22,151,5,14262,27591,0.005472799101156174
01043,23,1347,220,75778,27591,0.04882026747852561
01043,31-33,5696,102,334483,27591,0.20644413033235476
01043,42,1507,86,88058,27591,0.05461925990359175
01043,44-45,4475,351,150202,27591,0.16219056938856874
01043,48-49,2095,88,107675,27591,0.07593055706570984
01043,51,240,24,12356,27591,0.008698488637599217
01043,52,783,122,63871,27591,0.028378819180167447
01043,53,176,59,9268,27591,0.0063788916675727595
01043,54,673,114,31528,27591,0.02439201188793447
01043,55,627,5,44865,27591,0.022724801565727953
01043,56,1229,79,42178,27591,0.04454351056503932
01043,61,92,11,2333,27591,0.003334420644413033
01043,62,3509,218,202840,27591,0.1271791526222319
01043,71,113,15,3503,27591,0.004095538400202965
01043,72,3398,151,65524,27591,0.12315610162734225
01043,81,1414,206,51367,27591,0.05124859555652205
01045,11,50,5,2853,8328,0.006003842459173871
01045,22,97,4,9008,8328,0.011647454370797311
01045,23,629,59,37831,8328,0.0755283381364073
01045,31-33,544,30,29719,8328,0.06532180595581172
01045,42,129,14,7783,8328,0.015489913544668587
01045,44-45,1349,136,41207,8328,0.16198366954851104
01045,48-49,776,33,46257,8328,0.09317963496637849
01045,51,37,11,1796,8328,0.004442843419788665
01045,52,427,41,26624,8328,0.05127281460134486
01045,53,169,33,8619,8328,0.020292987512007685
01045,54,490,67,34582,8328,0.05883765609990394
01045,56,562,34,31377,8328,0.06748318924111431
01045,61,62,9,3984,8328,0.007444764649375601
01045,62,1361,66,58005,8328,0.16342459173871277
01045,71,27,8,818,8328,0.0032420749279538905
01045,72,1095,79,22035,8328,0.13148414985590778
01045,81,509,83,14205,8328,0.06111911623439001
01047,11,47,11,3001,9170,0.005125408942202835
01047,22,69,3,5817,9170,0.00752453653217012
01047,23,372,39,26890,9170,0.040567066521264995
01047,31-33,3143,33,194466,9170,0.3427480916030534
01047,42,193,23,9798,9170,0.021046892039258452
01047,44-45,1350,136,39437,9170,0.14721919302071973
01047,48-49,98,15,4999,9170,0.010687022900763359
01047,51,83,15,3675,9170,0.009051254089422029
01047,52,219,40,13751,9170,0.023882224645583424
01047,53,57,20,1964,9170,0.0062159214830970555
01047,54,199,56,8989,9170,0.021701199563794984
01047,56,291,18,7846,9170,0.03173391494002181
01047,61,124,4,2671,9170,0.013522355507088331
01047,62,1352,81,66218,9170,0.1474372955288986
01047,71,33,7,767,9170,0.003598691384950927
01047,72,737,55,13407,9170,0.08037077426390403
01047,81,761,92,17200,9170,0.08298800436205016
01049,11,14,4,653,20004,6.998600279944011e-4
01049,23,624,92,34461,20004,0.03119376124775045
01049,31-33,7559,98,448839,20004,0.377874425114977
01049,42,638,45,40442,20004,0.03189362127574485
01049,44-45,2769,255,87304,20004,0.13842231553689263
01049,48-49,1384,39,130137,20004,0.0691861627674465
01049,51,197,19,12901,20004,0.009848030393921216
01049,52,385,83,19272,20004,0.01924615076984603
01049,53,267,33,12176,20004,0.01334733053389322
01049,54,316,71,15988,20004,0.015796840631873626
01049,55,31,3,3286,20004,0.0015496900619876024
01049,56,908,48,35198,20004,0.04539092181563687
01049,61,96,3,1375,20004,0.004799040191961607
01049,62,2449,131,109566,20004,0.1224255148970206
01049,71,65,12,1751,20004,0.0032493501299740053
01049,72,1748,103,37391,20004,0.08738252349530094
